1974,2138,Turn Left,1649222472531,1649222475854,0:39,0:42
4879,4981,Turn Left,1649222531314,1649222533369,1:37,1:39
6473,6671,Turn Left,1649222563547,1649222567565,2:9,2:13
6807,6932,Turn Right,1649222570321,1649222572832,2:16,2:18
7459,7578,Turn Left,1649222583494,1649222585918,2:29,2:31
10351,10454,Turn Left,1649222642021,1649222644094,3:27,3:29
12706,12816,Turn Left,1649222689676,1649222691894,4:14,4:16
15706,15817,Turn Left,1649222750380,1649222752618,5:14,5:16
17156,17329,Turn Left,1649222779715,1649222783216,5:43,5:46
17484,17581,Turn Right,1649222786339,1649222788313,5:49,5:51
18232,18393,Turn Left,1649222801482,1649222804737,6:4,6:7
21456,21595,Turn Left,1649222866721,1649222869517,7:9,7:11
23820,24017,Turn Left,1649222914550,1649222918522,7:56,8:0
26932,27031,Turn Left,1649222977502,1649222979508,8:58,9:0
28418,28559,Turn Left,1649223007586,1649223010423,9:28,9:31
28735,28808,Turn Right,1649223013982,1649223015464,9:34,9:36
29393,29527,Turn Left,1649223027303,1649223030024,9:47,9:50
8571,8871,Cruise,1649222605997,1649222612075,2:51,2:57
8872,9072,Cruise,1649222612096,1649222616135,2:57,3:1
9374,9674,Cruise,1649222622258,1649222628317,3:7,3:13
12347,12547,Cruise,1649222682398,1649222686463,4:6,4:10
14639,14839,Cruise,1649222728783,1649222732832,4:52,4:56
16722,17022,Cruise,1649222770917,1649222776994,5:34,5:40
25545,25845,Cruise,1649222949449,1649222955528,8:30,8:36
