1570,1768,Turn Right,1649221251604,1649221255601,0:31,0:35
4491,4606,Turn Right,1649221310705,1649221313028,1:29,1:32
5418,5522,Turn Left,1649221329440,1649221331561,1:48,1:50
5695,5851,Turn Right,1649221335061,1649221338204,1:53,1:57
7263,7410,Turn Right,1649221366786,1649221369763,2:25,2:28
10319,10479,Turn Right,1649221428620,1649221431843,3:26,3:29
12628,12770,Turn Right,1649221475342,1649221478205,4:12,4:15
15320,15445,Turn Right,1649221529805,1649221532339,5:6,5:8
16324,16426,Turn Left,1649221550121,1649221552184,5:26,5:28
18102,18242,Turn Right,1649221586086,1649221588922,6:2,6:4
26300,26378,Turn Right,1649221751961,1649221753549,8:46,8:47
27244,27363,Turn Right,1649221771064,1649221773481,9:4,9:7
28775,28845,Turn Right,1649221802045,1649221803465,9:35,9:36
31531,31691,Turn Right,1649221857823,1649221861057,10:30,10:33
1248,1548,Cruise,1649221245079,1649221251137,0:24,0:30
1768,1868,Cruise,1649221255601,1649221257620,0:35,0:37
2471,2771,Cruise,1649221269818,1649221275900,0:49,0:55
2974,3074,Cruise,1649221280003,1649221282020,0:59,1:1
3075,3375,Cruise,1649221282041,1649221288124,1:1,1:7
3376,3476,Cruise,1649221288143,1649221290161,1:7,1:9
3477,3677,Cruise,1649221290178,1649221294221,1:9,1:13
