3838,3977,Turn Right,1649225374891,1649225377701,1:16,1:19
5709,5823,Turn Right,1649225412750,1649225415056,1:54,1:56
6165,6319,Turn Left,1649225421980,1649225425089,2:3,2:6
8721,8814,Turn Right,1649225473696,1649225475577,2:54,2:56
10183,10311,Turn Left,1649225503277,1649225505866,3:23,3:26
21711,21850,Turn Right,1649225736531,1649225739347,7:14,7:17
23560,23663,Turn Right,1649225773945,1649225776028,7:51,7:53
23883,24054,Turn Left,1649225780476,1649225783941,7:57,8:1
1483,1583,Cruise,1649225327236,1649225329262,0:29,0:31
1584,1684,Cruise,1649225329279,1649225331301,0:31,0:33
1887,1987,Cruise,1649225335412,1649225337436,0:37,0:39
4101,4401,Cruise,1649225380212,1649225386283,1:22,1:28
4703,5003,Cruise,1649225392394,1649225398464,1:34,1:40
14155,14261,Lane Change Right,1649225583648,1649225585794,4:43,4:45
15012,15123,Lane Change Right,1649225600990,1649225603232,5:0,5:2
