5356,5481,Turn Left,1648632696171,1648632698718,1:47,1:49
6397,6542,Turn Left,1648632717244,1648632720174,2:7,2:10
8538,8663,Turn Right,1648632760555,1648632763092,2:50,2:53
8844,9036,Turn Left,1648632766756,1648632770636,2:56,3:0
10466,10554,Turn Left,1648632799555,1648632801337,3:29,3:31
12576,12718,Turn Left,1648632842252,1648632845128,4:11,4:14
15827,15937,Turn Left,1648632908032,1648632910250,5:16,5:18
16929,17082,Turn Left,1648632930327,1648632933416,5:38,5:41
19120,19330,Turn Left,1648632974649,1648632978897,6:22,6:26
20629,20779,Turn Left,1648633005176,1648633008212,6:52,6:55
2076,2276,Cruise,1648632629817,1648632633876,0:41,0:45
2277,2577,Cruise,1648632633897,1648632639956,0:45,0:51
2980,3180,Cruise,1648632648112,1648632652160,0:59,1:3
3976,4133,Lane Change Right,1648632668256,1648632671438,1:19,1:22
14693,14759,Lane Change Right,1648632885087,1648632886419,4:53,4:55
