3744,3854,Turn Right,1649643969815,1649643972039,1:14,1:17
5225,5364,Turn Right,1649643999789,1649644002600,1:44,1:47
5535,5718,Turn Left,1649644006065,1649644009775,1:50,1:54
7631,7730,Turn Right,1649644048478,1649644050495,2:32,2:34
19796,19914,Turn Right,1649644294676,1649644297055,6:35,6:38
21257,21365,Turn Right,1649644324234,1649644326421,7:5,7:7
21526,21718,Turn Left,1649644329678,1649644333562,7:10,7:14
23676,23767,Turn Right,1649644373200,1649644375042,7:53,7:55
24910,25007,Turn Left,1649644398163,1649644400125,8:18,8:20
1825,2125,Cruise,1649643930985,1649643937048,0:36,0:42
2728,3028,Cruise,1649643949264,1649643955328,0:54,1:0
4248,4548,Cruise,1649643980026,1649643986088,1:24,1:30
4750,4950,Cruise,1649643990187,1649643994223,1:35,1:39
6926,7226,Cruise,1649644034223,1649644040298,2:18,2:24
7227,7427,Cruise,1649644040316,1649644044358,2:24,2:28
12289,12359,Lane Change Right,1649644142761,1649644144173,4:5,4:7
