1556,1694,Turn Left,1649641476521,1649641479310,0:31,0:33
4226,4350,Turn Left,1649641530542,1649641533059,1:24,1:27
6256,6438,Turn Left,1649641571622,1649641575318,2:5,2:8
8621,8792,Turn Left,1649641619482,1649641622940,2:52,2:55
10646,10795,Turn Left,1649641660458,1649641663477,3:32,3:35
13106,13276,Turn Left,1649641710243,1649641713685,4:22,4:25
14355,14559,Turn Left,1649641735517,1649641739646,4:47,4:51
14653,14786,Turn Right,1649641741559,1649641744240,4:53,4:55
15237,15378,Turn Left,1649641753365,1649641756219,5:4,5:7
17637,17795,Turn Left,1649641801943,1649641805145,5:52,5:55
19631,19755,Turn Left,1649641842296,1649641844793,6:32,6:35
22202,22378,Turn Left,1649641894315,1649641897875,7:24,7:27
24455,24615,Turn Left,1649641939916,1649641943158,8:9,8:12
26891,27028,Turn Left,1649641989201,1649641991974,8:57,9:0
29024,29150,Turn Left,1649642032375,1649642034914,9:40,9:43
31638,31777,Turn Left,1649642085276,1649642088093,10:32,10:35
1238,1538,Cruise,1649641470087,1649641476157,0:24,0:30
2141,2441,Cruise,1649641488367,1649641494420,0:42,0:48
2442,2642,Cruise,1649641494442,1649641498497,0:48,0:52
2643,2843,Cruise,1649641498520,1649641502571,0:52,0:56
3145,3445,Cruise,1649641508679,1649641514739,1:2,1:8
3446,3546,Cruise,1649641514759,1649641516781,1:8,1:10
3547,3747,Cruise,1649641516803,1649641520860,1:10,1:14
