2404,2525,Turn Right,1649658659410,1649658661870,0:48,0:50
6337,6457,Turn Left,1649658738988,1649658741435,2:6,2:9
6620,6774,Turn Right,1649658744727,1649658747836,2:12,2:15
11590,11701,Turn Right,1649658845291,1649658847531,3:51,3:54
13960,14079,Turn Right,1649658893249,1649658895647,4:39,4:41
18099,18181,Turn Left,1649658976988,1649658978650,6:1,6:3
18398,18537,Turn Right,1649658983040,1649658985852,6:7,6:10
20105,20257,Turn Right,1649659017581,1649659020656,6:42,6:45
23474,23684,Turn Right,1649659085762,1649659089999,7:49,7:53
25925,26072,Turn Right,1649659135358,1649659138318,8:38,8:41
29118,29260,Turn Right,1649659199956,1649659202844,9:42,9:45
30314,30430,Turn Right,1649659224194,1649659226539,10:6,10:8
32017,32096,Turn Right,1649659258649,1649659260254,10:40,10:41
1956,2156,Cruise,1649658650349,1649658654403,0:39,0:43
2966,3066,Cruise,1649658670795,1649658672810,0:59,1:1
3067,3167,Cruise,1649658672828,1649658674847,1:1,1:3
3168,3268,Cruise,1649658674869,1649658676891,1:3,1:5
3976,4076,Cruise,1649658691227,1649658693253,1:19,1:21
4178,4278,Cruise,1649658695309,1649658697329,1:23,1:25
