8034,8217,Turn Left,1649662386953,1649662390650,2:40,2:44
9751,9844,Turn Left,1649662421677,1649662423569,3:15,3:16
12463,12538,Turn Right,1649662476551,1649662478070,4:9,4:10
12805,12947,Turn Left,1649662483474,1649662486360,4:16,4:18
25099,25249,Turn Left,1649662732233,1649662735275,8:21,8:24
28908,29109,Turn Right,1649662809305,1649662813378,9:38,9:42
29298,29444,Turn Left,1649662817198,1649662820158,9:45,9:48
31328,31404,Turn Left,1649662858306,1649662859836,10:26,10:28
6789,6894,Lane Change Right,1649662361744,1649662363878,2:15,2:17
21260,21352,Lane Change Right,1649662654559,1649662656412,7:5,7:7
24223,24294,Lane Change Right,1649662714508,1649662715953,8:4,8:5
