6698,6827,Turn Right,1649663111967,1649663114583,2:13,2:16
7077,7245,Turn Left,1649663119641,1649663123039,2:21,2:24
9661,9844,Turn Right,1649663171924,1649663175629,3:13,3:16
11148,11277,Turn Left,1649663202002,1649663204621,3:42,3:45
21702,21857,Turn Right,1649663415538,1649663418686,7:14,7:17
23499,23648,Turn Right,1649663451897,1649663454921,7:49,7:52
23789,23945,Turn Left,1649663457767,1649663460925,7:55,7:58
26079,26254,Turn Right,1649663504097,1649663507641,8:41,8:45
27615,27733,Turn Left,1649663535188,1649663537563,9:12,9:14
2989,3289,Cruise,1649663036929,1649663042988,0:59,1:5
3290,3390,Cruise,1649663043004,1649663045040,1:5,1:7
10754,11054,Cruise,1649663194039,1649663200102,3:35,3:41
12143,12343,Cruise,1649663222141,1649663226177,4:2,4:6
17917,18009,Lane Change Right,1649663338970,1649663340820,5:58,6:0
