6545,6711,Turn Left,1648714483840,1648714487194,2:10,2:14
7891,8024,Turn Left,1648714511066,1648714513753,2:37,2:40
10457,10596,Turn Left,1648714562970,1648714565781,3:29,3:31
12159,12236,Turn Left,1648714597400,1648714598957,4:3,4:4
14529,14697,Turn Left,1648714645344,1648714648744,4:50,4:53
18196,18303,Turn Left,1648714719524,1648714721683,6:3,6:6
19512,19677,Turn Left,1648714746142,1648714749477,6:30,6:33
21713,21877,Turn Right,1648714790665,1648714793987,7:14,7:17
22119,22230,Turn Left,1648714798876,1648714801124,7:22,7:24
24064,24142,Turn Left,1648714838225,1648714839803,8:1,8:2
16960,17022,Lane Change Right,1648714694518,1648714695774,5:39,5:40
