1135,1287,Turn Right,1648710968878,1648710971957,0:22,0:25
3447,3639,Turn Right,1648711015647,1648711019533,1:8,1:12
4618,4729,Turn Right,1648711039335,1648711041583,1:32,1:34
6078,6261,Turn Right,1648711068877,1648711072570,2:1,2:5
8887,9053,Turn Right,1648711125698,1648711129053,2:57,3:1
12007,12186,Turn Right,1648711188810,1648711192429,4:0,4:3
14499,14636,Turn Right,1648711239223,1648711241999,4:49,4:52
15237,15346,Turn Left,1648711254147,1648711256352,5:4,5:6
15504,15668,Turn Right,1648711259550,1648711262871,5:10,5:13
16794,16996,Turn Right,1648711285650,1648711289732,5:35,5:39
19563,19720,Turn Right,1648711341663,1648711344839,6:31,6:34
21504,21681,Turn Right,1648711380925,1648711384505,7:10,7:13
24096,24277,Turn Right,1648711433360,1648711437021,8:1,8:5
24755,24877,Turn Left,1648711446692,1648711449158,8:15,8:17
24977,25120,Turn Right,1648711451183,1648711454076,8:19,8:22
26283,26475,Turn Right,1648711477602,1648711481485,8:45,8:49
29104,29276,Turn Right,1648711534671,1648711538156,9:42,9:45
31148,31322,Turn Right,1648711576020,1648711579543,10:22,10:26
1589,1889,Cruise,1648710978068,1648710984133,0:31,0:37
2492,2792,Cruise,1648710996332,1648711002398,0:49,0:55
2793,3093,Cruise,1648711002418,1648711008489,0:55,1:1
6365,6665,Cruise,1648711074676,1648711080750,2:7,2:13
6666,6866,Cruise,1648711080765,1648711084814,2:13,2:17
7781,8081,Cruise,1648711103325,1648711109391,2:35,2:41
