1247,1398,Turn Left,1648712276388,1648712279444,0:24,0:27
3828,4001,Turn Left,1648712328602,1648712332100,1:16,1:20
5069,5215,Turn Left,1648712353701,1648712356657,1:41,1:44
5354,5472,Turn Right,1648712359468,1648712361860,1:47,1:49
5987,6114,Turn Left,1648712372276,1648712374843,1:59,2:2
8460,8605,Turn Left,1648712422297,1648712425239,2:49,2:52
10548,10699,Turn Left,1648712464535,1648712467594,3:30,3:33
13131,13321,Turn Left,1648712516796,1648712520634,4:22,4:26
15498,15629,Turn Left,1648712564672,1648712567326,5:9,5:12
17998,18132,Turn Left,1648712615246,1648712617962,5:59,6:2
20033,20201,Turn Left,1648712656418,1648712659808,6:40,6:44
22777,22964,Turn Left,1648712711917,1648712715701,7:35,7:39
24204,24356,Turn Left,1648712740786,1648712743860,8:4,8:7
24462,24660,Turn Right,1648712746005,1648712750010,8:9,8:13
25172,25336,Turn Left,1648712760368,1648712763685,8:23,8:26
27698,27858,Turn Left,1648712811465,1648712814704,9:13,9:17
29814,29972,Turn Left,1648712854277,1648712857471,9:56,9:59
2303,2603,Cruise,1648712297753,1648712303818,0:46,0:52
2604,2704,Cruise,1648712303844,1648712305861,0:52,0:54
3006,3306,Cruise,1648712311973,1648712318042,1:0,1:6
3307,3607,Cruise,1648712318058,1648712324132,1:6,1:12
4412,4612,Cruise,1648712340416,1648712344459,1:28,1:32
