,timestamp,x,y,z,Time
0,1649751863824,3.2859976,1.6319197,9.044728,2022:04:12:17:24:23.824
1,1649751863838,3.2967772,1.6702474,9.04952,2022:04:12:17:24:23.838
2,1649751863858,3.2680316,1.7037841,9.044728,2022:04:12:17:24:23.858
3,1649751863882,3.238687,1.7618744,9.039937,2022:04:12:17:24:23.882
4,1649751863900,3.1811955,1.8289479,9.035146,2022:04:12:17:24:23.900
5,1649751863918,3.1524498,1.8630835,8.992626,2022:04:12:17:24:23.918
6,1649751863940,3.1141222,1.8678744,8.992626,2022:04:12:17:24:23.940
7,1649751863965,3.0949583,1.8774563,9.026163,2022:04:12:17:24:23.965
8,1649751863983,3.128495,1.819366,9.01179,2022:04:12:17:24:23.983
9,1649751863999,3.1620317,1.7714564,9.030355,2022:04:12:17:24:23.999
10,1649751864020,3.2099411,1.704383,9.025564,2022:04:12:17:24:24.020
11,1649751864040,3.257851,1.6367108,9.059101,2022:04:12:17:24:24.040
12,1649751864065,3.2722237,1.5792192,9.059101,2022:04:12:17:24:24.065
13,1649751864081,3.2770147,1.5450836,9.059101,2022:04:12:17:24:24.081
14,1649751864101,3.2530599,1.5402927,9.068084,2022:04:12:17:24:24.101
15,1649751864121,3.1997604,1.5696373,9.058502,2022:04:12:17:24:24.121
16,1649751864140,3.1758056,1.607965,9.063293,2022:04:12:17:24:24.140
17,1649751864165,3.142269,1.6462927,9.044728,2022:04:12:17:24:24.165
18,1649751864181,3.0745966,1.7331287,9.044728,2022:04:12:17:24:24.181
19,1649751864202,3.1039414,1.7139649,9.058502,2022:04:12:17:24:24.202
20,1649751864221,3.137478,1.7427106,9.058502,2022:04:12:17:24:24.221
21,1649751864249,3.1662238,1.7714564,9.030355,2022:04:12:17:24:24.249
22,1649751864265,3.1997604,1.7762474,9.030355,2022:04:12:17:24:24.265
23,1649751864284,3.2428792,1.7714564,9.030355,2022:04:12:17:24:24.284
24,1649751864303,3.2668338,1.7810383,9.030355,2022:04:12:17:24:24.303
25,1649751864324,3.262043,1.7906202,9.025564,2022:04:12:17:24:24.324
26,1649751864348,3.252461,1.7714564,9.025564,2022:04:12:17:24:24.348
27,1649751864366,3.228506,1.7570835,9.039937,2022:04:12:17:24:24.366
28,1649751864384,3.2093425,1.7522925,9.035146,2022:04:12:17:24:24.384
29,1649751864405,3.1758056,1.7379197,9.030355,2022:04:12:17:24:24.405
30,1649751864424,3.1476588,1.7139649,9.039937,2022:04:12:17:24:24.424
31,1649751864448,3.1380768,1.6989932,9.04952,2022:04:12:17:24:24.448
32,1649751864468,3.1380768,1.6894113,9.059101,2022:04:12:17:24:24.468
33,1649751864485,3.1524498,1.6462927,9.059101,2022:04:12:17:24:24.485
34,1649751864503,3.1722124,1.6415017,9.068084,2022:04:12:17:24:24.503
35,1649751864533,3.2009583,1.6175469,9.063892,2022:04:12:17:24:24.533
36,1649751864549,3.229704,1.5983831,9.063892,2022:04:12:17:24:24.549
37,1649751864568,3.2536588,1.5983831,9.068683,2022:04:12:17:24:24.568
38,1649751864586,3.2488678,1.6510836,9.05431,2022:04:12:17:24:24.586
39,1649751864607,3.234495,1.6942022,9.068683,2022:04:12:17:24:24.607
40,1649751864632,3.2195232,1.7331287,9.030355,2022:04:12:17:24:24.632
41,1649751864649,3.1955683,1.7666655,9.016582,2022:04:12:17:24:24.649
42,1649751864667,3.1620317,1.809784,9.039937,2022:04:12:17:24:24.667
43,1649751864688,3.1524498,1.814575,9.030355,2022:04:12:17:24:24.688
44,1649751864707,3.1524498,1.819366,9.021372,2022:04:12:17:24:24.707
45,1649751864733,3.1764045,1.809784,9.059101,2022:04:12:17:24:24.733
46,1649751864749,3.1764045,1.7762474,9.035146,2022:04:12:17:24:24.749
47,1649751864769,3.1907773,1.7379197,9.035146,2022:04:12:17:24:24.769
48,1649751864788,3.233896,1.7091739,9.04952,2022:04:12:17:24:24.788
49,1649751864809,3.238687,1.6654564,9.044728,2022:04:12:17:24:24.809
50,1649751864832,3.2488678,1.6367108,9.063892,2022:04:12:17:24:24.832
51,1649751864849,3.239286,1.6223378,9.063892,2022:04:12:17:24:24.849
52,1649751864868,3.2009583,1.6271288,9.044728,2022:04:12:17:24:24.868
53,1649751864890,3.1817944,1.6319197,9.063892,2022:04:12:17:24:24.890
54,1649751864910,3.1626306,1.6415017,9.072875,2022:04:12:17:24:24.910
55,1649751864934,3.1578395,1.6702474,9.059101,2022:04:12:17:24:24.934
56,1649751864952,3.1530485,1.7091739,9.05431,2022:04:12:17:24:24.952
57,1649751864971,3.1434667,1.7235469,9.05431,2022:04:12:17:24:24.971
58,1649751864991,3.1770034,1.7283378,9.035146,2022:04:12:17:24:24.991
59,1649751865011,3.2009583,1.7475016,9.04952,2022:04:12:17:24:25.011
60,1649751865034,3.2045515,1.7379197,9.039937,2022:04:12:17:24:25.034
61,1649751865051,3.2189243,1.7427106,9.039937,2022:04:12:17:24:25.051
62,1649751865072,3.2237153,1.7570835,9.044728,2022:04:12:17:24:25.072
63,1649751865093,3.2380881,1.7379197,9.035146,2022:04:12:17:24:25.093
64,1649751865115,3.2189243,1.7475016,9.044728,2022:04:12:17:24:25.115
65,1649751865132,3.2045515,1.7379197,9.025564,2022:04:12:17:24:25.132
66,1649751865153,3.1853876,1.7427106,9.044728,2022:04:12:17:24:25.153
67,1649751865173,3.151252,1.7379197,9.068084,2022:04:12:17:24:25.173
68,1649751865200,3.156043,1.7139649,9.044728,2022:04:12:17:24:25.200
69,1649751865216,3.1704159,1.7187558,9.053711,2022:04:12:17:24:25.216
70,1649751865234,3.1710148,1.6846203,9.059101,2022:04:12:17:24:25.234
