3315,3449,Turn Right,1649734442643,1649734445347,1:6,1:8
4780,4890,Turn Right,1649734472283,1649734474523,1:35,1:37
5112,5230,Turn Left,1649734479005,1649734481402,1:42,1:44
6995,7106,Turn Right,1649734517123,1649734519366,2:19,2:22
8080,8207,Turn Left,1649734539085,1649734541645,2:41,2:44
13690,13810,Turn Right,1649734652635,1649734655045,4:33,4:36
15738,15847,Turn Right,1649734694073,1649734696284,5:14,5:16
17207,17315,Turn Right,1649734723806,1649734725984,5:44,5:46
17485,17627,Turn Left,1649734729424,1649734732309,5:49,5:52
19366,19495,Turn Right,1649734767499,1649734770103,6:27,6:29
20756,20851,Turn Left,1649734795625,1649734797549,6:55,6:57
1825,2025,Cruise,1649734412491,1649734416526,0:36,0:40
2245,2445,Cruise,1649734420991,1649734425026,0:44,0:48
2647,2847,Cruise,1649734429125,1649734433161,0:52,0:56
2848,3048,Cruise,1649734433183,1649734437230,0:56,1:0
10654,10954,Cruise,1649734591187,1649734597252,3:33,3:39
11201,11325,Lane Change Right,1649734602240,1649734604766,3:44,3:46
12460,12544,Lane Change Right,1649734627724,1649734629423,4:9,4:10
24172,24333,Lane Change Right,1649734864761,1649734868025,8:3,8:6
