2801,2935,Turn Right,1649141329272,1649141331984,0:56,0:58
4294,4390,Turn Right,1649141359476,1649141361422,1:25,1:27
4543,4670,Turn Left,1649141364521,1649141367088,1:30,1:33
6529,6610,Turn Right,1649141404693,1649141406335,2:10,2:12
7592,7695,Turn Left,1649141426198,1649141428292,2:31,2:33
19569,19688,Turn Right,1649141668497,1649141670909,6:31,6:33
19886,20022,Turn Left,1649141674910,1649141677665,6:37,6:40
23215,23339,Turn Left,1649141742259,1649141744767,7:44,7:46
985,1185,Cruise,1649141292534,1649141296581,0:19,0:23
1793,2093,Cruise,1649141308882,1649141314950,0:35,0:41
2094,2194,Cruise,1649141314973,1649141316992,0:41,0:43
2195,2495,Cruise,1649141317017,1649141323084,0:43,0:49
3338,3538,Cruise,1649141340137,1649141344185,1:6,1:10
6912,7212,Cruise,1649141412439,1649141418518,2:18,2:24
7213,7313,Cruise,1649141418534,1649141420555,2:24,2:26
9725,9777,Lane Change Right,1649141469347,1649141470402,3:14,3:15
12915,12978,Lane Change Right,1649141533888,1649141535157,4:18,4:19
28587,28701,Lane Change Right,1649141850935,1649141853241,9:31,9:34
