3113,3234,Turn Right,1648870377353,1648870379798,1:2,1:4
4794,4911,Turn Right,1648870411361,1648870413723,1:35,1:38
5127,5232,Turn Left,1648870418093,1648870420223,1:42,1:44
7235,7360,Turn Right,1648870460740,1648870463265,2:24,2:27
8780,8861,Turn Right,1648870491991,1648870493630,2:55,2:57
14421,14570,Turn Right,1648870606104,1648870609118,4:48,4:51
16081,16199,Turn Right,1648870639682,1648870642068,5:21,5:23
16401,16592,Turn Left,1648870646152,1648870650019,5:28,5:31
18463,18574,Turn Right,1648870687867,1648870690113,6:9,6:11
19695,19832,Turn Right,1648870712788,1648870715560,6:33,6:36
1101,1301,Cruise,1648870336649,1648870340696,0:22,0:26
1302,1402,Cruise,1648870340715,1648870342739,0:26,0:28
1403,1503,Cruise,1648870342762,1648870344783,0:28,0:30
1705,1905,Cruise,1648870348868,1648870352917,0:34,0:38
1906,2106,Cruise,1648870352936,1648870356984,0:38,0:42
2107,2307,Cruise,1648870357002,1648870361047,0:42,0:46
20443,20532,Lane Change Right,1648870727921,1648870729723,6:48,6:50
