1480,1641,Turn Left,1649750214918,1649750218174,0:29,0:32
3718,3896,Turn Left,1649750260187,1649750263793,1:14,1:17
5497,5650,Turn Left,1649750296195,1649750299290,1:49,1:53
7857,7979,Turn Left,1649750343941,1649750346416,2:37,2:39
9670,9818,Turn Left,1649750380633,1649750383621,3:13,3:16
13937,14081,Turn Left,1649750466966,1649750469880,4:38,4:41
15987,16073,Turn Left,1649750508446,1649750510194,5:19,5:21
17884,18045,Turn Left,1649750546839,1649750550098,5:57,6:0
21503,21658,Turn Left,1649750620060,1649750623198,7:10,7:13
21739,21858,Turn Right,1649750624849,1649750627239,7:14,7:17
22204,22362,Turn Left,1649750634247,1649750637439,7:24,7:27
24178,24326,Turn Left,1649750674186,1649750677183,8:3,8:6
26004,26132,Turn Left,1649750711145,1649750713722,8:40,8:42
28301,28453,Turn Left,1649750757625,1649750760698,9:26,9:29
30084,30242,Turn Left,1649750793722,1649750796927,10:1,10:4
32126,32275,Turn Left,1649750835048,1649750838074,10:42,10:45
1136,1336,Cruise,1649750207950,1649750212002,0:22,0:26
2546,2846,Cruise,1649750236483,1649750242559,0:50,0:56
2948,3048,Cruise,1649750244618,1649750246635,0:58,1:0
3049,3249,Cruise,1649750246653,1649750250706,1:0,1:4
3250,3550,Cruise,1649750250726,1649750256801,1:5,1:11
4211,4511,Cruise,1649750270172,1649750276234,1:24,1:30
4512,4712,Cruise,1649750276252,1649750280320,1:30,1:34
