3067,3207,Turn Right,1649752476488,1649752479328,1:1,1:4
4692,4785,Turn Right,1649752509364,1649752511247,1:33,1:35
4974,5132,Turn Left,1649752515083,1649752518272,1:39,1:42
8477,8603,Turn Left,1649752585956,1649752588511,2:49,2:52
20655,20781,Turn Right,1649752832355,1649752834915,6:53,6:55
21009,21189,Turn Left,1649752839521,1649752843163,7:0,7:3
23152,23243,Turn Right,1649752882890,1649752884721,7:43,7:44
24550,24670,Turn Left,1649752911171,1649752913604,8:11,8:13
4112,4412,Cruise,1649752497642,1649752503702,1:22,1:28
13222,13522,Cruise,1649752681959,1649752688046,4:24,4:30
13523,13623,Cruise,1649752688062,1649752690084,4:30,4:32
14231,14431,Cruise,1649752702372,1649752706423,4:44,4:48
14432,14632,Cruise,1649752706441,1649752710499,4:48,4:52
14633,14733,Cruise,1649752710522,1649752712540,4:52,4:54
12691,12803,Lane Change Right,1649752671214,1649752673479,4:13,4:16
27923,28095,Lane Change Right,1649752979420,1649752982890,9:18,9:21
