1719,1839,Turn Right,1649749250468,1649749252886,0:34,0:36
4089,4222,Turn Right,1649749298428,1649749301107,1:21,1:24
4669,4811,Turn Left,1649749310154,1649749313025,1:33,1:36
4919,5085,Turn Right,1649749315211,1649749318571,1:38,1:41
6067,6278,Turn Right,1649749338454,1649749342712,2:1,2:5
8317,8481,Turn Right,1649749383973,1649749387292,2:46,2:49
10074,10263,Turn Right,1649749419535,1649749423350,3:21,3:25
12206,12339,Turn Right,1649749462666,1649749465357,4:4,4:6
12781,12898,Turn Left,1649749474300,1649749476672,4:15,4:17
13014,13151,Turn Right,1649749479008,1649749481789,4:20,4:23
14172,14384,Turn Right,1649749502450,1649749506728,4:43,4:47
16390,16581,Turn Right,1649749547333,1649749551185,5:27,5:31
18195,18344,Turn Right,1649749583853,1649749586869,6:3,6:6
20243,20340,Turn Right,1649749625289,1649749627254,6:44,6:46
20712,20875,Turn Left,1649749634770,1649749638069,6:54,6:57
20983,21152,Turn Right,1649749640253,1649749643672,6:59,7:3
22050,22216,Turn Right,1649749661854,1649749665216,7:21,7:24
24128,24339,Turn Right,1649749703896,1649749708171,8:2,8:6
26022,26166,Turn Right,1649749742216,1649749745125,8:40,8:43
28047,28174,Turn Right,1649749783197,1649749785768,9:20,9:23
28629,28727,Turn Left,1649749794974,1649749796952,9:32,9:34
28843,29035,Turn Right,1649749799297,1649749803184,9:36,9:40
30052,30203,Turn Right,1649749823789,1649749826846,10:1,10:4
32188,32392,Turn Right,1649749867024,1649749871135,10:43,10:47
1415,1715,Cruise,1649749244313,1649749250387,0:28,0:34
2017,2317,Cruise,1649749256500,1649749262578,0:40,0:46
2519,2719,Cruise,1649749266650,1649749270709,0:50,0:54
2720,2920,Cruise,1649749270729,1649749274771,0:54,0:58
2921,3121,Cruise,1649749274793,1649749278829,0:58,1:2
3122,3422,Cruise,1649749278851,1649749284929,1:2,1:8
3423,3723,Cruise,1649749284955,1649749291017,1:8,1:14
3724,3824,Cruise,1649749291033,1649749293056,1:14,1:16
