,Timestamp,Acc-x, Acc-y, Acc-z,Time
1,1640245361476,-1.7211514,2.9512296,9.02796,2021:12:23:16:42:41.476
2,1640245361478,-1.7019875,2.9805741,9.051914,2021:12:23:16:42:41.478
3,1640245361499,-1.76427,2.9560206,9.065688,2021:12:23:16:42:41.499
4,1640245361524,-1.6971966,2.975783,9.051914,2021:12:23:16:42:41.524
5,1640245361542,-1.6397051,2.9709923,9.023169,2021:12:23:16:42:41.542
6,1640245361559,-1.543287,2.9853652,9.023169,2021:12:23:16:42:41.559
7,1640245361579,-1.5576599,2.9709923,9.047124,2021:12:23:16:42:41.579
8,1640245361601,-1.6540779,2.9081109,9.037541,2021:12:23:16:42:41.601
9,1640245361624,-1.6732417,2.898529,9.056107,2021:12:23:16:42:41.624
10,1640245361641,-1.6684508,2.893738,9.070479,2021:12:23:16:42:41.641
11,1640245361661,-1.5864056,2.9368567,9.02796,2021:12:23:16:42:41.661
12,1640245361682,-1.5289142,2.9805741,9.02796,2021:12:23:16:42:41.682
13,1640245361700,-1.5816147,2.975783,9.018378,2021:12:23:16:42:41.700
14,1640245361722,-1.644496,2.9662013,9.037541,2021:12:23:16:42:41.722
15,1640245361742,-1.6924056,2.9709923,8.999813,2021:12:23:16:42:41.742
16,1640245361761,-1.6247333,3.0476475,9.070479,2021:12:23:16:42:41.761
17,1640245361782,-1.649287,3.0284836,9.009395,2021:12:23:16:42:41.782
18,1640245361800,-1.6876147,2.975783,9.009395,2021:12:23:16:42:41.800
19,1640245361823,-1.6924056,3.004529,9.037541,2021:12:23:16:42:41.823
20,1640245361843,-1.7498971,2.9853652,9.051914,2021:12:23:16:42:41.843
21,1640245361863,-1.7984055,2.9464386,9.023169,2021:12:23:16:42:41.863
22,1640245361884,-1.740914,2.9901562,9.02796,2021:12:23:16:42:41.884
23,1640245361907,-1.644496,3.0189018,8.999813,2021:12:23:16:42:41.907
24,1640245361922,-1.6780328,2.9901562,8.995022,2021:12:23:16:42:41.922
25,1640245361943,-1.7600778,2.9464386,9.042333,2021:12:23:16:42:41.943
26,1640245361962,-1.7019875,2.9709923,9.02796,2021:12:23:16:42:41.962
27,1640245361987,-1.5726317,3.0189018,8.999813,2021:12:23:16:42:41.987
28,1640245362007,-1.5965865,3.00932,9.023169,2021:12:23:16:42:42.007
29,1640245362025,-1.6780328,2.9416478,9.004603,2021:12:23:16:42:42.025
30,1640245362043,-1.6971966,2.9560206,9.047124,2021:12:23:16:42:42.043
31,1640245362065,-1.7504959,2.9416478,9.037541,2021:12:23:16:42:42.065
32,1640245362083,-1.6924056,2.9709923,9.02796,2021:12:23:16:42:42.083
33,1640245362107,-1.6540779,2.9662013,9.037541,2021:12:23:16:42:42.107
34,1640245362123,-1.6013774,2.975783,9.009395,2021:12:23:16:42:42.123
35,1640245362146,-1.5390949,3.0189018,9.004603,2021:12:23:16:42:42.146
36,1640245362164,-1.5678407,3.0236928,9.004603,2021:12:23:16:42:42.164
37,1640245362187,-1.6205412,3.00932,8.990231,2021:12:23:16:42:42.187
38,1640245362208,-1.6924056,3.0141108,9.023169,2021:12:23:16:42:42.208
39,1640245362226,-1.745705,3.004529,9.02796,2021:12:23:16:42:42.226
40,1640245362245,-1.7840327,2.9805741,9.042333,2021:12:23:16:42:42.245
41,1640245362274,-1.7840327,2.975783,9.02796,2021:12:23:16:42:42.274
42,1640245362292,-1.6780328,2.9901562,9.013587,2021:12:23:16:42:42.292
43,1640245362307,-1.6205412,2.9614103,9.051315,2021:12:23:16:42:42.307
44,1640245362326,-1.7265412,2.898529,9.056107,2021:12:23:16:42:42.326
45,1640245362347,-1.8319422,2.888947,9.047124,2021:12:23:16:42:42.347
46,1640245362373,-1.7840327,2.898529,9.056107,2021:12:23:16:42:42.373
47,1640245362392,-1.7073773,2.922484,9.037541,2021:12:23:16:42:42.392
48,1640245362407,-1.6540779,2.9320657,8.98544,2021:12:23:16:42:42.407
49,1640245362427,-1.6013774,2.9464386,9.047124,2021:12:23:16:42:42.427
50,1640245362446,-1.6109593,2.9416478,9.018378,2021:12:23:16:42:42.446
51,1640245362473,-1.5965865,2.9709923,9.013587,2021:12:23:16:42:42.473
52,1640245362490,-1.6061684,2.9709923,9.009395,2021:12:23:16:42:42.490
53,1640245362509,-1.6301231,2.9901562,9.037541,2021:12:23:16:42:42.509
54,1640245362528,-1.6786315,2.9614103,9.032751,2021:12:23:16:42:42.528
55,1640245362553,-1.7073773,2.9320657,9.042333,2021:12:23:16:42:42.553
56,1640245362572,-1.6684508,2.9416478,9.051315,2021:12:23:16:42:42.572
57,1640245362589,-1.6636598,2.9368567,9.032751,2021:12:23:16:42:42.589
58,1640245362609,-1.6738406,2.9320657,9.046525,2021:12:23:16:42:42.609
59,1640245362633,-1.6540779,2.9464386,9.037541,2021:12:23:16:42:42.633
60,1640245362649,-1.644496,2.9614103,9.02796,2021:12:23:16:42:42.649
61,1640245362674,-1.7073773,2.9662013,9.042333,2021:12:23:16:42:42.674
62,1640245362690,-1.7600778,2.9614103,9.042333,2021:12:23:16:42:42.690
63,1640245362713,-1.7073773,2.9853652,9.023169,2021:12:23:16:42:42.713
64,1640245362730,-1.6397051,2.999738,9.004603,2021:12:23:16:42:42.730
