1187,1378,Turn Right,1649558210599,1649558214471,0:23,0:27
4027,4129,Turn Right,1649558268083,1649558270151,1:20,1:22
4715,4826,Turn Left,1649558282004,1649558284250,1:34,1:36
4996,5101,Turn Right,1649558287679,1649558289803,1:39,1:42
6443,6562,Turn Right,1649558316961,1649558319367,2:8,2:11
9407,9529,Turn Right,1649558376941,1649558379414,3:8,3:10
11547,11693,Turn Right,1649558420248,1649558423219,3:50,3:53
14128,14268,Turn Right,1649558472494,1649558475320,4:42,4:45
14807,14939,Turn Left,1649558486227,1649558488893,4:56,4:58
15033,15186,Turn Right,1649558490801,1649558493892,5:0,5:3
16407,16539,Turn Right,1649558518615,1649558521291,5:28,5:30
19140,19286,Turn Right,1649558573938,1649558576870,6:22,6:25
21313,21477,Turn Right,1649558617895,1649558621214,7:6,7:9
23887,24031,Turn Right,1649558669983,1649558672911,7:57,8:0
26151,26247,Turn Right,1649558715814,1649558717746,8:43,8:44
29036,29132,Turn Right,1649558774190,1649558776146,9:40,9:42
31102,31268,Turn Right,1649558816024,1649558819384,10:22,10:25
209,309,Cruise,1649558190822,1649558192844,0:4,0:6
1986,2186,Cruise,1649558226769,1649558230829,0:39,0:43
2388,2588,Cruise,1649558234907,1649558238951,0:47,0:51
5931,6131,Cruise,1649558306600,1649558310649,1:58,2:2
7568,7768,Cruise,1649558339731,1649558343789,2:31,2:35
8499,8599,Cruise,1649558358584,1649558360593,2:49,2:51
