4130,4225,Turn Right,1649562816990,1649562818901,1:22,1:24
5896,6010,Turn Right,1649562852723,1649562855030,1:57,2:0
6190,6356,Turn Left,1649562858684,1649562862047,2:3,2:7
8403,8520,Turn Right,1649562903465,1649562905849,2:48,2:50
9682,9797,Turn Left,1649562929360,1649562931683,3:13,3:15
20941,21049,Turn Right,1649563157243,1649563159418,6:58,7:0
23260,23384,Turn Left,1649563204178,1649563206682,7:45,7:47
25512,25588,Turn Right,1649563249753,1649563251295,8:30,8:31
26719,26864,Turn Left,1649563274176,1649563277107,8:54,8:57
4913,5113,Cruise,1649562832831,1649562836888,1:38,1:42
5721,5821,Cruise,1649562849182,1649562851210,1:54,1:56
12582,12882,Cruise,1649562988047,1649562994118,4:11,4:17
12883,13083,Cruise,1649562994136,1649562998200,4:17,4:21
13084,13184,Cruise,1649562998218,1649563000243,4:21,4:23
11966,12024,Lane Change Right,1649562975585,1649562976760,3:59,4:0
30510,30604,Lane Change Right,1649563350930,1649563352827,10:10,10:12
