,Timestamp,Acc-x, Acc-y, Acc-z,Time
1,1640147947268,-0.8378186,3.3566644,9.101621,2021:12:22:13:39:07.268
2,1640147947275,-0.71744585,3.2362914,9.021372,2021:12:22:13:39:07.275
3,1640147947299,-0.8138638,3.1350825,9.092638,2021:12:22:13:39:07.299
4,1640147947322,-0.70307297,3.2123368,9.096829,2021:12:22:13:39:07.322
5,1640147947339,-0.6072538,3.174009,9.01718,2021:12:22:13:39:07.339
6,1640147947359,-0.83302766,3.3231275,9.002808,2021:12:22:13:39:07.359
7,1640147947381,-1.0540105,3.1638284,9.087847,2021:12:22:13:39:07.381
8,1640147947398,-1.1019201,3.3327096,9.068683,2021:12:22:13:39:07.398
9,1640147947419,-1.0204738,3.2506645,9.106412,2021:12:22:13:39:07.419
10,1640147947440,-0.6551634,3.2075458,9.035745,2021:12:22:13:39:07.440
11,1640147947460,-0.6407905,3.3231275,9.026163,2021:12:22:13:39:07.460
12,1640147947480,-0.62641764,3.1398735,9.059101,2021:12:22:13:39:07.480
13,1640147947506,-0.84740055,3.1590374,9.172287,2021:12:22:13:39:07.506
14,1640147947519,-0.97735524,3.2410824,9.0830555,2021:12:22:13:39:07.519
15,1640147947540,-0.76595426,3.2506645,9.087847,2021:12:22:13:39:07.540
16,1640147947559,-0.5012539,3.1494553,9.030954,2021:12:22:13:39:07.559
17,1640147947588,-0.52520865,3.174009,8.998016,2021:12:22:13:39:07.588
18,1640147947601,-0.67911816,3.2506645,9.030954,2021:12:22:13:39:07.601
19,1640147947620,-0.6887001,3.298574,9.012389,2021:12:22:13:39:07.620
20,1640147947639,-0.6024628,3.1542463,9.073474,2021:12:22:13:39:07.639
21,1640147947661,-0.5204177,3.063218,9.087847,2021:12:22:13:39:07.661
22,1640147947680,-0.52520865,3.3087547,9.054909,2021:12:22:13:39:07.680
23,1640147947698,-0.46292624,3.3183367,8.96987,2021:12:22:13:39:07.698
24,1640147947719,-0.3862709,3.174009,9.0830555,2021:12:22:13:39:07.719
25,1640147947739,-0.3671071,3.087173,9.13935,2021:12:22:13:39:07.739
26,1640147947757,-0.4006438,3.0536363,9.134559,2021:12:22:13:39:07.757
27,1640147947783,-0.6216267,3.2698283,9.073474,2021:12:22:13:39:07.783
28,1640147947801,-0.82883555,3.3279185,8.983644,2021:12:22:13:39:07.801
29,1640147947820,-1.0546094,3.3039637,9.073474,2021:12:22:13:39:07.820
30,1640147947840,-1.0498185,3.2362914,9.096829,2021:12:22:13:39:07.840
31,1640147947860,-0.9725643,3.2794101,9.059101,2021:12:22:13:39:07.860
32,1640147947879,-0.8144627,3.4141557,9.012389,2021:12:22:13:39:07.879
33,1640147947899,-0.9054909,3.3518734,8.97466,2021:12:22:13:39:07.899
34,1640147947923,-1.0019089,3.2602463,9.106412,2021:12:22:13:39:07.923
35,1640147947940,-0.91028184,3.188382,9.13935,2021:12:22:13:39:07.940
36,1640147947960,-0.5785081,3.1542463,9.092039,2021:12:22:13:39:07.960
37,1640147947982,-0.376689,3.1446645,9.012389,2021:12:22:13:39:07.982
38,1640147947998,-0.32877943,3.0392635,9.063892,2021:12:22:13:39:07.998
39,1640147948019,-0.2856608,2.9715912,9.129767,2021:12:22:13:39:08.019
40,1640147948036,-0.23296028,3.0392635,9.1489315,2021:12:22:13:39:08.036
41,1640147948062,-0.07425983,2.981173,9.063892,2021:12:22:13:39:08.062
42,1640147948080,0.08444062,3.174009,9.007598,2021:12:22:13:39:08.080
43,1640147948097,-0.52580756,2.9428453,8.309317,2021:12:22:13:39:08.097
44,1640147948119,-0.75637233,3.9675114,9.870569,2021:12:22:13:39:08.119
45,1640147948137,-0.91028184,2.4613543,9.068683,2021:12:22:13:39:08.137
46,1640147948157,0.69947976,5.998278,7.946401,2021:12:22:13:39:08.157
47,1640147948178,-2.563761,5.0550585,7.469701,2021:12:22:13:39:08.178
48,1640147948198,-2.2894785,2.3074448,9.27649,2021:12:22:13:39:08.198
49,1640147948219,-0.04551409,1.3163154,10.210129,2021:12:22:13:39:08.219
50,1640147948238,-0.5982708,2.8368454,9.511847,2021:12:22:13:39:08.238
51,1640147948260,-0.4874799,4.506494,8.62552,2021:12:22:13:39:08.260
52,1640147948280,-1.0258636,4.3573756,8.238649,2021:12:22:13:39:08.280
53,1640147948302,-1.7804394,3.9627204,8.894412,2021:12:22:13:39:08.302
54,1640147948320,-1.7900213,3.895647,9.035745,2021:12:22:13:39:08.320
55,1640147948337,-1.621739,3.8669012,8.700977,2021:12:22:13:39:08.337
56,1640147948360,-1.1558183,3.7656922,8.597372,2021:12:22:13:39:08.360
57,1640147948380,-0.67013514,3.481828,8.804582,2021:12:22:13:39:08.380
58,1640147948402,-0.6222255,3.3327096,8.988435,2021:12:22:13:39:08.402
59,1640147948420,-0.7036718,3.3327096,8.983644,2021:12:22:13:39:08.420
60,1640147948457,-0.4970618,3.293783,8.903395,2021:12:22:13:39:08.457
61,1640147948475,-0.53119737,3.4387095,8.875248,2021:12:22:13:39:08.475
62,1640147948480,-0.3096156,3.8231838,8.786016,2021:12:22:13:39:08.480
63,1640147948502,-0.18984167,4.087884,8.733914,2021:12:22:13:39:08.502
64,1640147948536,-0.3533331,4.0591383,8.955497,2021:12:22:13:39:08.536
65,1640147948556,-0.65576226,3.9100199,8.832728,2021:12:22:13:39:08.556
