,Timestamp,Acc-x, Acc-y, Acc-z,Time
1,1640148200982,1.0102931,3.5393195,8.989034,2021:12:22:13:43:20.982
2,1640148200995,0.78931016,3.592619,8.885428,2021:12:22:13:43:20.995
3,1640148201017,0.82763785,3.7219748,8.814762,2021:12:22:13:43:21.017
4,1640148201035,0.89471126,3.780065,8.777034,2021:12:22:13:43:21.035
5,1640148201061,0.88512933,3.693229,8.842909,2021:12:22:13:43:21.061
6,1640148201082,0.7941011,3.6405284,8.918366,2021:12:22:13:43:21.082
7,1640148201099,0.6785193,3.6501105,8.951304,2021:12:22:13:43:21.099
8,1640148201120,0.6401916,3.7417374,8.856683,2021:12:22:13:43:21.120
9,1640148201140,0.5485646,3.7465284,8.838119,2021:12:22:13:43:21.140
10,1640148201158,0.5485646,3.702811,8.833327,2021:12:22:13:43:21.158
11,1640148201183,0.6833103,3.674065,8.880638,2021:12:22:13:43:21.183
12,1640148201199,0.78931016,3.707602,8.927949,2021:12:22:13:43:21.199
13,1640148201221,0.7941011,3.784856,8.856683,2021:12:22:13:43:21.221
14,1640148201240,0.75517464,3.780065,8.781225,2021:12:22:13:43:21.240
15,1640148201262,0.5677284,3.6501105,8.880638,2021:12:22:13:43:21.262
16,1640148201277,0.44795448,3.5584834,8.951304,2021:12:22:13:43:21.277
17,1640148201297,0.47190928,3.6788561,8.918366,2021:12:22:13:43:21.297
18,1640148201315,0.5246098,3.7369466,8.856683,2021:12:22:13:43:21.315
19,1640148201337,0.46232736,3.7171838,8.89022,2021:12:22:13:43:21.337
20,1640148201356,0.43358162,3.6596923,8.913576,2021:12:22:13:43:21.356
21,1640148201378,0.45274544,3.6644833,8.908785,2021:12:22:13:43:21.378
22,1640148201396,0.44795448,3.7369466,8.838119,2021:12:22:13:43:21.396
23,1640148201417,0.5485646,3.7752743,8.833327,2021:12:22:13:43:21.417
24,1640148201437,0.5821013,3.7561104,8.885428,2021:12:22:13:43:21.437
25,1640148201465,0.65935546,3.7944381,8.838119,2021:12:22:13:43:21.465
26,1640148201482,0.71684694,3.707602,8.927949,2021:12:22:13:43:21.482
27,1640148201500,0.6210278,3.4626641,9.0501175,2021:12:22:13:43:21.500
28,1640148201519,0.5677284,3.6692743,8.885428,2021:12:22:13:43:21.519
29,1640148201539,0.44795448,3.895647,8.71535,2021:12:22:13:43:21.539
30,1640148201558,0.42879066,3.7321556,8.842909,2021:12:22:13:43:21.558
31,1640148201579,0.48149118,3.5009918,9.064491,2021:12:22:13:43:21.579
32,1640148201601,0.6928922,3.6165738,8.984242,2021:12:22:13:43:21.601
33,1640148201622,0.6928922,3.780065,8.8477,2021:12:22:13:43:21.622
34,1640148201641,0.45274544,3.7219748,8.951304,2021:12:22:13:43:21.641
35,1640148201662,0.3473444,3.6357377,9.008197,2021:12:22:13:43:21.662
36,1640148201679,0.3473444,3.707602,8.903994,2021:12:22:13:43:21.679
37,1640148201701,0.30841786,3.7561104,8.857282,2021:12:22:13:43:21.701
38,1640148201719,0.17906202,3.69802,8.903994,2021:12:22:13:43:21.719
39,1640148201745,0.41441777,3.8183928,8.800389,2021:12:22:13:43:21.745
40,1640148201761,0.51981884,3.890856,8.786016,2021:12:22:13:43:21.761
41,1640148201781,0.31799978,3.674065,8.899202,2021:12:22:13:43:21.781
42,1640148201798,0.22218063,3.6405284,8.951304,2021:12:22:13:43:21.798
43,1640148201817,0.16468915,3.7513194,8.861474,2021:12:22:13:43:21.817
44,1640148201835,0.15989819,3.7656922,8.852491,2021:12:22:13:43:21.835
45,1640148201858,0.24613541,3.7465284,8.880638,2021:12:22:13:43:21.858
46,1640148201878,0.3036269,3.7752743,8.852491,2021:12:22:13:43:21.878
47,1640148201896,0.27967212,3.707602,8.908785,2021:12:22:13:43:21.896
48,1640148201918,0.28925404,3.6501105,8.941723,2021:12:22:13:43:21.918
49,1640148201939,0.31799978,3.6884382,8.903994,2021:12:22:13:43:21.939
50,1640148201961,0.33776248,3.7465284,8.852491,2021:12:22:13:43:21.961
51,1640148201979,0.39525396,3.7321556,8.899202,2021:12:22:13:43:21.979
52,1640148201998,0.40962684,3.6644833,8.951304,2021:12:22:13:43:21.998
53,1640148202020,0.39525396,3.674065,8.871056,2021:12:22:13:43:22.020
54,1640148202040,0.34255344,3.7609012,8.866265,2021:12:22:13:43:22.040
55,1640148202061,0.37609014,3.7513194,8.918366,2021:12:22:13:43:22.061
56,1640148202079,0.37609014,3.7465284,8.899202,2021:12:22:13:43:22.079
57,1640148202102,0.3473444,3.780065,8.842909,2021:12:22:13:43:22.102
58,1640148202120,0.3808811,3.784856,8.852491,2021:12:22:13:43:22.120
59,1640148202140,0.33776248,3.7267656,8.866265,2021:12:22:13:43:22.140
60,1640148202157,0.3036269,3.69802,8.875847,2021:12:22:13:43:22.157
61,1640148202178,0.3275817,3.6549015,8.960886,2021:12:22:13:43:22.178
62,1640148202195,0.36650822,3.6836472,8.97466,2021:12:22:13:43:22.195
63,1640148202221,0.27488115,3.784856,8.842909,2021:12:22:13:43:22.221
64,1640148202237,0.17427106,3.7704833,8.8477,2021:12:22:13:43:22.237
65,1640148202258,0.13055357,3.6501105,8.927949,2021:12:22:13:43:22.258
66,1640148202278,0.13055357,3.6261556,8.946513,2021:12:22:13:43:22.278
67,1640148202298,0.15031628,3.69802,8.927949,2021:12:22:13:43:22.298
68,1640148202316,0.21259873,3.7267656,8.913576,2021:12:22:13:43:22.316
69,1640148202337,0.3036269,3.702811,8.946513,2021:12:22:13:43:22.337
70,1640148202358,0.29883596,3.7321556,8.946513,2021:12:22:13:43:22.358
71,1640148202380,0.25092638,3.7656922,8.89022,2021:12:22:13:43:22.380
72,1640148202399,-0.07126549,3.69802,8.899202,2021:12:22:13:43:22.399
73,1640148202421,-0.32099414,3.6309466,8.895011,2021:12:22:13:43:22.421
74,1640148202440,-0.28266647,3.6357377,8.899202,2021:12:22:13:43:22.440
75,1640148202465,0.058689225,3.707602,8.842909,2021:12:22:13:43:22.465
