,Timestamp,Gyro-x, Gyro-y, Gyro-z,Time
1,1640148200981,0.008255793,0.08535424,-0.03675159,2021:12:22:13:43:20.981
2,1640148200995,0.0034621065,0.065646864,-0.06897581,2021:12:22:13:43:20.995
3,1640148201017,-0.002130527,0.055793177,-0.0905474,2021:12:22:13:43:21.017
4,1640148201036,-0.0034621065,0.05366265,-0.091346346,2021:12:22:13:43:21.036
5,1640148201062,-0.00452737,0.05499423,-0.086552665,2021:12:22:13:43:21.062
6,1640148201081,-0.0037284223,0.057124756,-0.082557924,2021:12:22:13:43:21.081
7,1640148201098,-0.0015978953,0.05685844,-0.07430213,2021:12:22:13:43:21.098
8,1640148201119,-0.0031957906,0.058722652,-0.059654757,2021:12:22:13:43:21.119
9,1640148201139,-0.0034621065,0.0544616,-0.046072647,2021:12:22:13:43:21.139
10,1640148201157,-0.0031957906,0.050733175,-0.046072647,2021:12:22:13:43:21.157
11,1640148201182,-0.002130527,0.053928968,-0.051398966,2021:12:22:13:43:21.182
12,1640148201199,-0.0018642112,0.053396333,-0.0452737,2021:12:22:13:43:21.199
13,1640148201220,-0.004261054,0.05419528,-0.037017908,2021:12:22:13:43:21.220
14,1640148201239,-0.004793686,0.0544616,-0.03435475,2021:12:22:13:43:21.239
15,1640148201261,-0.0050600017,0.050999492,-0.048735805,2021:12:22:13:43:21.261
16,1640148201279,-0.002396843,0.04540686,-0.07243792,2021:12:22:13:43:21.279
17,1640148201296,-0.002130527,0.036618434,-0.083623186,2021:12:22:13:43:21.296
18,1640148201314,-0.0015978953,0.035819486,-0.0838895,2021:12:22:13:43:21.314
19,1640148201336,-0.0029294747,0.03155843,-0.07829687,2021:12:22:13:43:21.336
20,1640148201355,-0.0034621065,0.028096326,-0.07829687,2021:12:22:13:43:21.355
21,1640148201377,-0.002396843,0.027297378,-0.079628445,2021:12:22:13:43:21.377
22,1640148201395,-0.0026631588,0.022503693,-0.07536739,2021:12:22:13:43:21.395
23,1640148201416,-0.0031957906,0.023302639,-0.06924213,2021:12:22:13:43:21.416
24,1640148201436,-0.0034621065,0.023835272,-0.060453705,2021:12:22:13:43:21.436
25,1640148201464,-0.0034621065,0.026764747,-0.052730545,2021:12:22:13:43:21.464
26,1640148201481,-0.00452737,0.028096326,-0.057257913,2021:12:22:13:43:21.481
27,1640148201498,-0.0013315794,0.03182475,-0.082557924,2021:12:22:13:43:21.498
28,1640148201518,0.00053263176,0.032623697,-0.08815055,2021:12:22:13:43:21.518
29,1640148201538,-0.0037284223,0.023568956,-0.07563371,2021:12:22:13:43:21.538
30,1640148201557,-0.0037284223,0.01877527,-0.090281084,2021:12:22:13:43:21.557
31,1640148201577,-0.00053263176,0.0139815835,-0.1123853,2021:12:22:13:43:21.577
32,1640148201600,0.0015978953,0.019041585,-0.12010846,2021:12:22:13:43:21.600
33,1640148201623,0.0010652635,0.024101587,-0.11478215,2021:12:22:13:43:21.623
34,1640148201641,0.00079894764,0.024101587,-0.106792666,2021:12:22:13:43:21.641
35,1640148201662,0.0013315794,0.023302639,-0.10279793,2021:12:22:13:43:21.662
36,1640148201679,0.0010652635,0.022770008,-0.09534109,2021:12:22:13:43:21.679
37,1640148201700,0.00053263176,0.027563693,-0.090281084,2021:12:22:13:43:21.700
38,1640148201718,0.0,0.019840533,-0.08708529,2021:12:22:13:43:21.718
39,1640148201743,0.00079894764,0.020905796,-0.07909582,2021:12:22:13:43:21.743
40,1640148201760,-0.0031957906,0.022503693,-0.05885581,2021:12:22:13:43:21.760
41,1640148201780,-0.0018642112,0.02463422,-0.053529494,2021:12:22:13:43:21.780
42,1640148201797,-0.00026631588,0.025965799,-0.0503337,2021:12:22:13:43:21.797
43,1640148201816,-0.0013315794,0.025433166,-0.034621064,2021:12:22:13:43:21.816
44,1640148201834,-0.00026631588,0.021704745,-0.02130527,2021:12:22:13:43:21.834
45,1640148201857,-0.0015978953,0.016378427,-0.018642113,2021:12:22:13:43:21.857
46,1640148201877,-0.002396843,0.016378427,-0.017044216,2021:12:22:13:43:21.877
47,1640148201895,-0.0010652635,0.016112112,-0.01358211,2021:12:22:13:43:21.895
48,1640148201916,-0.002130527,0.014780532,-0.016777901,2021:12:22:13:43:21.916
49,1640148201938,-0.00079894764,0.012117373,-0.021038955,2021:12:22:13:43:21.938
50,1640148201960,-0.0018642112,0.008655266,-0.02263685,2021:12:22:13:43:21.960
51,1640148201979,-0.0031957906,0.0083889505,-0.030626327,2021:12:22:13:43:21.979
52,1640148201997,-0.0013315794,0.0083889505,-0.04340949,2021:12:22:13:43:21.997
53,1640148202019,-0.0015978953,0.007856319,-0.049534753,2021:12:22:13:43:22.019
54,1640148202039,-0.0018642112,0.007323687,-0.05219791,2021:12:22:13:43:22.039
55,1640148202060,-0.00079894764,0.011052109,-0.047137912,2021:12:22:13:43:22.060
56,1640148202078,-0.0010652635,0.014514215,-0.03755054,2021:12:22:13:43:22.078
57,1640148202100,-0.002396843,0.016112112,-0.022104219,2021:12:22:13:43:22.100
58,1640148202119,-0.003994738,0.021704745,-0.0074568447,2021:12:22:13:43:22.119
59,1640148202139,-0.004261054,0.020905796,0.002130527,2021:12:22:13:43:22.139
60,1640148202177,-0.0031957906,0.019574217,-0.008255793,2021:12:22:13:43:22.177
61,1640148202194,-0.002396843,0.017710006,-0.022104219,2021:12:22:13:43:22.194
62,1640148202198,-0.002130527,0.019307902,-0.017576847,2021:12:22:13:43:22.198
63,1640148202220,-0.0013315794,0.020639481,-0.004261054,2021:12:22:13:43:22.220
64,1640148202257,-0.0029294747,0.023568956,0.010652635,2021:12:22:13:43:22.257
65,1640148202277,-0.002130527,0.021172112,0.009587372,2021:12:22:13:43:22.277
66,1640148202297,-0.00026631588,0.017976321,0.006391581,2021:12:22:13:43:22.297
67,1640148202316,0.00026631588,0.015845794,0.010652635,2021:12:22:13:43:22.316
68,1640148202336,0.00026631588,0.018242639,0.025566325,2021:12:22:13:43:22.336
69,1640148202356,0.002130527,0.024101587,0.041278962,2021:12:22:13:43:22.356
70,1640148202380,0.002130527,0.022770008,0.05060002,2021:12:22:13:43:22.380
71,1640148202400,0.002396843,0.025699483,0.051398966,2021:12:22:13:43:22.400
72,1640148202420,0.0015978953,0.016911058,0.050866332,2021:12:22:13:43:22.420
73,1640148202439,0.002396843,0.0038615803,0.028229482,2021:12:22:13:43:22.439
74,1640148202464,0.0026631588,-0.017976321,0.015180005,2021:12:22:13:43:22.464
75,1640148202481,0.0026631588,-0.02783001,0.003994738,2021:12:22:13:43:22.481
76,1640148202499,0.0018642112,-0.026232114,-0.002130527,2021:12:22:13:43:22.499
77,1640148202519,0.002130527,-0.023302639,0.008788424,2021:12:22:13:43:22.519
78,1640148202546,0.0,-0.02143843,0.018375795,2021:12:22:13:43:22.546
79,1640148202562,-0.0026631588,-0.02463422,0.02530001,2021:12:22:13:43:22.562
80,1640148202580,-0.002396843,-0.032091063,0.030892642,2021:12:22:13:43:22.580
81,1640148202599,-0.00079894764,-0.034754224,0.027430536,2021:12:22:13:43:22.599
