1479,1547,Turn Left,1479,1547,0:29,0:30
4041,4128,Turn Left,4041,4128,1:20,1:22
5327,5389,Turn Left,5327,5389,1:46,1:47
5555,5614,Turn Right,5555,5614,1:51,1:52
8381,8451,Turn Left,8381,8451,2:47,2:49
10602,10695,Turn Left,10602,10695,3:32,3:33
14595,14662,Turn Left,14595,14662,4:51,4:53
14827,14882,Turn Right,14827,14882,4:56,4:57
15536,15595,Turn Left,15536,15595,5:10,5:11
17902,17966,Turn Left,17902,17966,5:58,5:59
19930,20018,Turn Left,19930,20018,6:38,6:40
22477,22576,Turn Left,22477,22576,7:29,7:31
23864,23959,Turn Left,23864,23959,7:57,7:59
24123,24198,Turn Right,24123,24198,8:2,8:3
29353,29498,Turn Left,29353,29498,9:47,9:49
842,942,Cruise,842,942,0:16,0:18
943,1043,Cruise,943,1043,0:18,0:20
1044,1344,Cruise,1044,1344,0:20,0:26
1646,1946,Cruise,1646,1946,0:32,0:38
