1453,1511,Turn Right,1453,1511,0:29,0:30
3615,3667,Turn Right,3615,3667,1:12,1:13
4231,4304,Turn Left,4231,4304,1:24,1:26
4427,4552,Turn Right,4427,4552,1:28,1:31
8450,8564,Turn Right,8450,8564,2:49,2:51
10497,10587,Turn Right,10497,10587,3:29,3:31
13639,13693,Turn Left,13639,13693,4:32,4:33
13885,13979,Turn Right,13885,13979,4:37,4:39
15378,15437,Turn Right,15378,15437,5:7,5:8
17998,18095,Turn Right,17998,18095,5:59,6:1
20030,20087,Turn Right,20030,20087,6:40,6:41
22434,22503,Turn Right,22434,22503,7:28,7:30
23185,23263,Turn Left,23185,23263,7:43,7:45
24879,24957,Turn Right,24879,24957,8:17,8:19
27703,27785,Turn Right,27703,27785,9:14,9:15
29722,29836,Turn Right,29722,29836,9:54,9:56
32357,32451,Turn Right,32357,32451,10:47,10:49
404,504,Cruise,404,504,0:8,0:10
505,605,Cruise,505,605,0:10,0:12
808,908,Cruise,808,908,0:16,0:18
909,1109,Cruise,909,1109,0:18,0:22
1110,1310,Cruise,1110,1310,0:22,0:26
1714,1914,Cruise,1714,1914,0:34,0:38
1915,2115,Cruise,1915,2115,0:38,0:42
