1445,1619,Turn Left,1649230639468,1649230642990,0:28,0:32
3741,3952,Turn Left,1649230685918,1649230690188,1:14,1:19
4921,5027,Turn Left,1649230709791,1649230711936,1:38,1:40
5135,5306,Turn Right,1649230714123,1649230717581,1:42,1:46
5656,5842,Turn Left,1649230724665,1649230728426,1:53,1:56
7766,7837,Turn Left,1649230767354,1649230768793,2:35,2:36
9510,9682,Turn Left,1649230802640,1649230806118,3:10,3:13
11859,12034,Turn Left,1649230850160,1649230853701,3:57,4:0
13698,13866,Turn Left,1649230887377,1649230890767,4:33,4:37
15811,15956,Turn Left,1649230930119,1649230933052,5:16,5:19
17629,17762,Turn Left,1649230966899,1649230969591,5:52,5:55
19930,20116,Turn Left,1649231013453,1649231017215,6:38,6:42
21797,21961,Turn Left,1649231051227,1649231054546,7:15,7:19
24012,24115,Turn Left,1649231096040,1649231098124,8:0,8:2
25741,25901,Turn Left,1649231131022,1649231134259,8:34,8:38
28035,28199,Turn Left,1649231177430,1649231180749,9:20,9:23
29152,29293,Turn Left,1649231200029,1649231202885,9:43,9:45
29394,29543,Turn Right,1649231204928,1649231207942,9:47,9:50
29890,30071,Turn Left,1649231214964,1649231218631,9:57,10:1
31958,32098,Turn Left,1649231256806,1649231259638,10:39,10:41
1033,1333,Cruise,1649230631129,1649230637200,0:20,0:26
2023,2223,Cruise,1649230651160,1649230655208,0:40,0:44
2224,2324,Cruise,1649230655232,1649230657251,0:44,0:46
2325,2525,Cruise,1649230657270,1649230661322,0:46,0:50
2727,2927,Cruise,1649230665407,1649230669451,0:54,0:58
2928,3028,Cruise,1649230669469,1649230671496,0:58,1:0
3029,3229,Cruise,1649230671514,1649230675561,1:0,1:4
3230,3430,Cruise,1649230675585,1649230679626,1:4,1:8
