2027,2128,Turn Right,1649229650772,1649229652811,0:40,0:42
4340,4458,Turn Right,1649229697568,1649229699955,1:26,1:29
4948,5053,Turn Left,1649229709866,1649229711992,1:38,1:41
5176,5307,Turn Right,1649229714477,1649229717128,1:43,1:46
6380,6556,Turn Right,1649229738840,1649229742402,2:7,2:11
8692,8891,Turn Right,1649229785623,1649229789641,2:53,2:57
10808,10973,Turn Right,1649229828427,1649229831766,3:36,3:39
13217,13347,Turn Right,1649229877167,1649229879795,4:24,4:26
13789,13915,Turn Left,1649229888738,1649229891287,4:35,4:38
14038,14186,Turn Right,1649229893777,1649229896770,4:40,4:43
15188,15354,Turn Right,1649229917044,1649229920406,5:3,5:7
17558,17718,Turn Right,1649229964992,1649229968231,5:51,5:54
19402,19510,Turn Right,1649230002297,1649230004491,6:28,6:30
21769,21926,Turn Right,1649230050188,1649230053367,7:15,7:18
22325,22446,Turn Left,1649230061435,1649230063887,7:26,7:28
22577,22736,Turn Right,1649230066538,1649230069752,7:31,7:34
23833,24001,Turn Right,1649230091948,1649230095348,7:56,8:0
26124,26276,Turn Right,1649230138301,1649230141375,8:42,8:45
27902,28076,Turn Right,1649230174272,1649230177794,9:18,9:21
30140,30287,Turn Right,1649230219553,1649230222527,10:2,10:5
32156,32344,Turn Right,1649230260345,1649230264144,10:43,10:46
1635,1735,Cruise,1649229642838,1649229644868,0:32,0:34
2542,2842,Cruise,1649229661187,1649229667260,0:50,0:56
2843,3043,Cruise,1649229667278,1649229671326,0:56,1:0
3044,3244,Cruise,1649229671346,1649229675389,1:0,1:4
3245,3345,Cruise,1649229675414,1649229677435,1:4,1:6
