1485,1592,Turn Left,1649570645853,1649570648019,0:29,0:31
3831,3974,Turn Left,1649570693326,1649570696233,1:16,1:19
5801,5968,Turn Left,1649570733191,1649570736569,1:56,1:59
7957,8063,Turn Left,1649570776833,1649570778963,2:39,2:41
9831,9928,Turn Left,1649570814747,1649570816708,3:16,3:18
12025,12192,Turn Left,1649570859151,1649570862531,4:0,4:3
13881,14055,Turn Left,1649570896711,1649570900233,4:37,4:41
15831,15970,Turn Left,1649570936165,1649570938985,5:16,5:19
17513,17641,Turn Left,1649570970210,1649570972790,5:50,5:52
19597,19789,Turn Left,1649571012373,1649571016269,6:31,6:35
21483,21671,Turn Left,1649571050542,1649571054343,7:9,7:13
25291,25455,Turn Left,1649571127600,1649571130916,8:25,8:29
27542,27674,Turn Left,1649571173164,1649571175824,9:10,9:13
28715,28848,Turn Left,1649571196898,1649571199581,9:34,9:36
28955,29057,Turn Right,1649571201757,1649571203823,9:39,9:41
29415,29600,Turn Left,1649571211063,1649571214803,9:48,9:52
31319,31462,Turn Left,1649571249602,1649571252481,10:26,10:29
1021,1221,Cruise,1649570636462,1649570640524,0:20,0:24
2497,2797,Cruise,1649570666332,1649570672403,0:49,0:55
2798,3098,Cruise,1649570672422,1649570678503,0:55,1:1
3099,3399,Cruise,1649570678521,1649570684585,1:1,1:7
6281,6581,Cruise,1649570742903,1649570748983,2:5,2:11
6582,6682,Cruise,1649570749003,1649570751027,2:11,2:13
6683,6783,Cruise,1649570751048,1649570753076,2:13,2:15
6784,6984,Cruise,1649570753092,1649570757134,2:15,2:19
7286,7586,Cruise,1649570763253,1649570769324,2:25,2:31
