5926,6070,Turn Left,1649572456877,1649572459789,1:58,2:1
7332,7445,Turn Left,1649572485333,1649572487612,2:26,2:28
10287,10420,Turn Left,1649572545130,1649572547810,3:25,3:28
11962,12075,Turn Left,1649572579014,1649572581310,3:59,4:1
15080,15175,Turn Left,1649572642129,1649572644054,5:1,5:3
19407,19568,Turn Left,1649572729681,1649572732953,6:28,6:31
20533,20662,Turn Left,1649572752470,1649572755088,6:50,6:53
22672,22833,Turn Right,1649572795764,1649572799010,7:33,7:36
22931,23094,Turn Left,1649572801003,1649572804308,7:38,7:41
24943,25022,Turn Left,1649572841714,1649572843308,8:18,8:20
27433,27511,Turn Left,1649572892106,1649572893683,9:8,9:10
4900,4945,Lane Change Right,1649572436122,1649572437037,1:38,1:38
12826,12955,Lane Change Right,1649572596512,1649572599109,4:16,4:19
26469,26524,Lane Change Right,1649572872592,1649572873702,8:49,8:50
