3365,3469,Turn Right,1649573045170,1649573047281,1:7,1:9
4994,5112,Turn Right,1649573078135,1649573080525,1:39,1:42
5302,5460,Turn Left,1649573084366,1649573087573,1:46,1:49
7566,7663,Turn Right,1649573130197,1649573132159,2:31,2:33
8711,8870,Turn Left,1649573153357,1649573156570,2:54,2:57
17645,17798,Turn Right,1649573334155,1649573337252,5:52,5:55
19109,19254,Turn Right,1649573363775,1649573366709,6:22,6:25
19394,19538,Turn Left,1649573369553,1649573372470,6:27,6:30
21344,21476,Turn Right,1649573409015,1649573411685,7:6,7:9
22554,22656,Turn Left,1649573433497,1649573435568,7:31,7:33
2469,2669,Cruise,1649573027048,1649573031085,0:49,0:53
3675,3875,Cruise,1649573051449,1649573055491,1:13,1:17
3876,4176,Cruise,1649573055510,1649573061595,1:17,1:23
4478,4778,Cruise,1649573067702,1649573073764,1:29,1:35
4779,4979,Cruise,1649573073784,1649573077833,1:35,1:39
8058,8358,Cruise,1649573140152,1649573146209,2:41,2:47
10643,10843,Cruise,1649573192452,1649573196506,3:32,3:36
12109,12402,Lane Change Right,1649573222127,1649573228047,4:2,4:8
