4497,4574,Turn Right,1649569625362,1649569626923,1:29,1:31
5146,5258,Turn Left,1649569638495,1649569640761,1:42,1:45
5389,5506,Turn Right,1649569643423,1649569645783,1:47,1:50
6751,6894,Turn Right,1649569670985,1649569673876,2:15,2:17
9434,9557,Turn Right,1649569725265,1649569727754,3:8,3:11
11452,11603,Turn Right,1649569766107,1649569769158,3:49,3:52
14603,14695,Turn Left,1649569829881,1649569831743,4:52,4:53
14835,14959,Turn Right,1649569834559,1649569837076,4:56,4:59
16091,16185,Turn Right,1649569859983,1649569861879,5:21,5:23
18430,18545,Turn Right,1649569907315,1649569909642,6:8,6:10
20324,20435,Turn Right,1649569945656,1649569947892,6:46,6:48
22636,22741,Turn Right,1649569992433,1649569994558,7:32,7:34
23230,23326,Turn Left,1649570004451,1649570006395,7:44,7:46
23482,23599,Turn Right,1649570009555,1649570011928,7:49,7:51
24750,24862,Turn Right,1649570035211,1649570037486,8:15,8:17
27165,27290,Turn Right,1649570084089,1649570086608,9:3,9:5
29015,29149,Turn Right,1649570121525,1649570124227,9:40,9:42
31439,31518,Turn Right,1649570170581,1649570172162,10:28,10:30
32020,32136,Turn Left,1649570182337,1649570184682,10:40,10:42
32273,32406,Turn Right,1649570187451,1649570190144,10:45,10:48
2736,3036,Cruise,1649569589720,1649569595796,0:54,1:0
7197,7497,Cruise,1649569680008,1649569686079,2:23,2:29
7498,7598,Cruise,1649569686105,1649569688120,2:29,2:31
12207,12507,Cruise,1649569781386,1649569787465,4:4,4:10
12809,13109,Cruise,1649569793565,1649569799636,4:16,4:22
13110,13210,Cruise,1649569799661,1649569801682,4:22,4:24
13514,13614,Cruise,1649569807843,1649569809858,4:30,4:32
15120,15420,Cruise,1649569840343,1649569846402,5:2,5:8
