7765,7930,Turn Left,1649743896119,1649743899446,2:35,2:38
9154,9229,Turn Left,1649743924221,1649743925747,3:3,3:4
11068,11157,Turn Right,1649743962969,1649743964774,3:41,3:43
11424,11533,Turn Left,1649743970160,1649743972367,3:48,3:50
14174,14249,Turn Left,1649744025845,1649744027364,4:43,4:44
16778,16848,Turn Left,1649744078544,1649744079963,5:35,5:36
20834,20990,Turn Left,1649744160626,1649744163785,6:56,6:59
22106,22193,Turn Left,1649744186372,1649744188139,7:22,7:23
23945,24016,Turn Right,1649744223586,1649744225024,7:58,8:0
24290,24380,Turn Left,1649744230575,1649744232389,8:5,8:7
25865,25940,Turn Left,1649744262451,1649744263969,8:37,8:38
28300,28429,Turn Left,1649744311728,1649744314329,9:26,9:28
4110,4214,Lane Change Right,1649743822149,1649743824256,1:22,1:24
6946,7070,Lane Change Right,1649743879540,1649743882041,2:18,2:21
20207,20293,Lane Change Right,1649744147944,1649744149694,6:44,6:45
