1553,1686,Turn Right,1649309180899,1649309183598,0:31,0:33
3639,3760,Turn Right,1649309223115,1649309225551,1:12,1:15
5436,5603,Turn Right,1649309259473,1649309262837,1:48,1:52
7529,7724,Turn Right,1649309301816,1649309305755,2:30,2:34
9279,9394,Turn Right,1649309337222,1649309339553,3:5,3:7
11288,11464,Turn Right,1649309377877,1649309381427,3:45,3:49
11872,11964,Turn Left,1649309389675,1649309391547,3:57,3:59
12053,12197,Turn Right,1649309393352,1649309396256,4:1,4:3
13100,13256,Turn Right,1649309414518,1649309417674,4:22,4:25
15063,15245,Turn Right,1649309454244,1649309457916,5:1,5:4
16612,16759,Turn Right,1649309485581,1649309488552,5:32,5:35
18542,18693,Turn Right,1649309524634,1649309527682,6:10,6:13
19105,19186,Turn Left,1649309536015,1649309537655,6:22,6:23
19259,19390,Turn Right,1649309539139,1649309541781,6:25,6:27
20254,20420,Turn Right,1649309559270,1649309562621,6:45,6:48
22161,22341,Turn Right,1649309597842,1649309601483,7:23,7:26
23826,23949,Turn Right,1649309631534,1649309634019,7:56,7:58
25777,25937,Turn Right,1649309670998,1649309674236,8:35,8:38
27480,27639,Turn Right,1649309705458,1649309708660,9:9,9:12
29525,29682,Turn Right,1649309746821,1649309749999,9:50,9:53
31054,31261,Turn Right,1649309777766,1649309781955,10:21,10:25
1888,2088,Cruise,1649309187675,1649309191722,0:37,0:41
2691,2991,Cruise,1649309203917,1649309209992,0:53,0:59
2992,3092,Cruise,1649309210016,1649309212037,0:59,1:1
4664,4964,Cruise,1649309243838,1649309249913,1:33,1:39
5605,5905,Cruise,1649309262881,1649309268956,1:52,1:58
5906,6006,Cruise,1649309268974,1649309270997,1:58,2:0
6007,6207,Cruise,1649309271017,1649309275072,2:0,2:4
6208,6408,Cruise,1649309275097,1649309279131,2:4,2:8
