6493,6613,Turn Left,1649311893583,1649311896006,2:9,2:12
7550,7671,Turn Left,1649311914964,1649311917401,2:31,2:33
9104,9255,Turn Right,1649311946402,1649311949447,3:2,3:5
9405,9510,Turn Left,1649311952482,1649311954611,3:8,3:10
10717,10846,Turn Left,1649311979027,1649311981634,3:34,3:36
12645,12834,Turn Left,1649312018045,1649312021867,4:12,4:16
16046,16214,Turn Left,1649312086848,1649312090248,5:20,5:24
17160,17344,Turn Left,1649312109382,1649312113107,5:43,5:46
18936,19055,Turn Right,1649312145310,1649312147720,6:18,6:21
19206,19362,Turn Left,1649312150764,1649312153920,6:24,6:27
20531,20643,Turn Left,1649312177579,1649312179847,6:50,6:52
22440,22610,Turn Left,1649312216203,1649312219637,7:28,7:32
15565,15782,Lane Change Right,1649312077108,1649312081509,5:11,5:15
