6639,6811,Turn Left,1648880546011,1648880549491,2:12,2:16
7767,7943,Turn Left,1648880568827,1648880572386,2:35,2:38
11779,11914,Turn Left,1648880649983,1648880652708,3:55,3:58
14146,14251,Turn Left,1648880697859,1648880699988,4:42,4:45
19413,19616,Turn Left,1648880804401,1648880808508,6:28,6:32
20710,20816,Turn Left,1648880830633,1648880832780,6:54,6:56
24312,24472,Turn Left,1648880903497,1648880906735,8:6,8:9
26672,26782,Turn Left,1648880951235,1648880953460,8:53,8:55
3386,3686,Cruise,1648880480212,1648880486279,1:7,1:13
4141,4341,Cruise,1648880495481,1648880499533,1:22,1:26
17789,17910,Lane Change Right,1648880771548,1648880773995,5:55,5:58
