1733,1849,Turn Right,1648877517333,1648877519678,0:34,0:36
3979,4150,Turn Right,1648877562769,1648877566224,1:19,1:23
4600,4731,Turn Left,1648877575330,1648877577981,1:32,1:34
4846,5017,Turn Right,1648877580311,1648877583764,1:36,1:40
6124,6282,Turn Right,1648877606156,1648877609355,2:2,2:5
8465,8626,Turn Right,1648877653512,1648877656770,2:49,2:52
10411,10562,Turn Right,1648877692878,1648877695930,3:28,3:31
12467,12636,Turn Right,1648877734473,1648877737885,4:9,4:12
14442,14659,Turn Right,1648877774415,1648877778802,4:48,4:53
16865,17060,Turn Right,1648877823434,1648877827377,5:37,5:41
18776,18896,Turn Right,1648877862082,1648877864510,6:15,6:17
20940,21098,Turn Right,1648877905859,1648877909053,6:58,7:1
22943,23181,Turn Right,1648877946375,1648877951189,7:38,7:43
25364,25550,Turn Right,1648877995343,1648877999104,8:27,8:31
27199,27393,Turn Right,1648878032462,1648878036386,9:3,9:7
29319,29470,Turn Right,1648878075344,1648878078397,9:46,9:49
31244,31457,Turn Right,1648878114283,1648878118593,10:24,10:29
2152,2452,Cruise,1648877525810,1648877531878,0:43,0:49
2453,2553,Cruise,1648877531898,1648877533920,0:49,0:51
2554,2654,Cruise,1648877533940,1648877535967,0:51,0:53
2655,2755,Cruise,1648877535986,1648877538006,0:53,0:55
3158,3358,Cruise,1648877546165,1648877550205,1:3,1:7
3359,3559,Cruise,1648877550230,1648877554273,1:7,1:11
